HAL_NAME, HAL_OWNER, HIDL, AIDL, AIDL_VERSION 
vendor.qti.hardware.slmadapter,qti,x,, 
vendor.qti.hardware.soter,qti,x,x,"=""1""" 
vendor.qti.hardware.spu,qti,,x,"=""1""" 
vendor.qti.hardware.sxrhal,qti,x,, 
vendor.qti.hardware.trustedui,qti,x,x,"=""1""" 
vendor.qti.hardware.tui_comm,qti,x,, 
vendor.qti.hardware.vpp,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.hostapd,qti,x,, 
vendor.qti.hardware.wifi.supplicant,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.wificfr,qti,x,x,"=""1""" 
vendor.qti.hardware.wifi.wifilearner,qti,x,, 
vendor.qti.hardware.wifi.wifimyftm,qti,x,x,"=""1""" 
vendor.qti.hardware.wifidisplaysession,qti,x,, 
vendor.qti.hardware.wigig.netperftuner,qti,x,, 
vendor.qti.hardware.wigig.supptunnel,qti,x,, 
vendor.qti.hardware.wipower,qti,x,, 
vendor.qti.ims.callinfo,qti,x,, 
vendor.qti.ims.datachannelservice,qti,,x,"=""1""" 
vendor.qti.ims.factory,qti,x,, 
vendor.qti.ims.factoryaidlservice,qti,,x,"=""1""" 
vendor.qti.imsrtpservice,qti,x,, 
vendor.qti.memory.pasrmanager,qti,x,x,"=""1""" 
vendor.qti.mstatservice,qti,x,, 
vendor.qti.power.pasrmanager,qti,x,, 
vendor.qti.qccvndhal_aidl,qti,,x,"=""1""" 
vendor.qti.qesdhal,qti,x,, 
vendor.qti.qesdhalaidl,qti,,x,"=""1""" 
vendor.qti.qspmhal,qti,x,x,"=""1""" 
vendor.qti.qvirt,qti,,x,"=""1""" 
vendor.qti.spu,qti,x,, 
vendor.qti.voiceprint,qti,x,, 
android.hardware.audio,google,x,, 
android.hardware.audio.core,google,,x,"=""1""" 
android.hardware.audio.effect,google,x,x,"=""1""" 
android.hardware.audio.sounddose,google,,x,"=""1""" 
android.hardware.authsecret,google,,x,"=""1""" 
android.hardware.automotive.audiocontrol,google,,x,"=""2-3""" 
android.hardware.automotive.can,google,,x,"=""1""" 
android.hardware.automotive.ivn,google,,x,"=""1""" 
android.hardware.automotive.occupant_awareness,google,,x,"=""1""" 
android.hardware.automotive.remoteaccess,google,,x,"=""1""" 
android.hardware.automotive.vehicle,google,,x,"=""1-2""" 
android.hardware.biometrics.face,google,,x,"=""3""" 
android.hardware.biometrics.fingerprint,google,,x,"=""3""" 
android.hardware.bluetooth,google,x,x,"=""1""" 
android.hardware.bluetooth.audio,google,,x,"=""3""" 
android.hardware.boot,google,,x,"=""1""" 
android.hardware.broadcastradio,google,,x,"=""1""" 
android.hardware.camera.provider,google,,x,"=""1-2""" 
android.hardware.cas,google,,x,"=""1""" 
android.hardware.confirmationui,google,,x,"=""1""" 
android.hardware.contexthub,google,,x,"=""2""" 
android.hardware.drm,google,,x,"=""1""" 
android.hardware.dumpstate,google,,x,"=""1""" 
android.hardware.gatekeeper,google,,x,"=""1""" 
android.hardware.gnss.measurement_corrections,google,,x,"=""1""" 
android.hardware.gnss.visibility_control,google,,x,"=""1""" 
android.hardware.graphics.composer3,google,,x,"=""2""" 
android.hardware.graphics.mapper,google,x,, 
android.hardware.health,google,,x,"=""1-2""" 
android.hardware.health.storage,google,,x,"=""1""" 
android.hardware.identity,google,,x,"=""1-5""" 
android.hardware.input.processor,google,,x,"=""1""" 
android.hardware.ir,google,,x,"=""1""" 
android.hardware.light,google,,x,"=""2""" 
android.hardware.memtrack,google,,x,"=""1""" 
